Year	Reproduce	Alive	
0	6610	601	
1	6609	601	
2	6800	619	
3	6852	623	
4	7155	651	
5	7835	713	
6	8399	764	
7	9038	822	
8	9108	828	
9	8378	762	
10	7724	703	
11	6863	624	
12	5671	516	
13	4530	412	
14	3506	319	
15	2718	248	
16	2160	197	
17	1656	151	
18	1197	109	
19	963	88	
20	1248	114	
21	2568	234	
22	3935	358	
23	5307	483	
24	6691	609	
25	7788	708	
26	9075	825	
27	10144	923	
28	10134	922	
29	9446	859	
30	8201	746	
31	6533	594	
32	5155	469	
33	4010	365	
34	3160	288	
35	2345	214	
36	1669	152	
37	1365	125	
38	1066	97	
39	1022	93	
40	2691	245	
41	4380	399	
42	6021	548	
43	7572	689	
44	9073	825	
45	10629	967	
46	11620	1057	
47	11427	1039	
48	10694	973	
49	8668	788	
50	6607	601	
51	5192	472	
52	3954	360	
53	3057	278	
54	2435	222	
55	1779	162	
56	1405	128	
57	1152	105	
58	1008	92	
59	2883	263	
60	4723	430	
61	6493	591	
62	8191	745	
63	9820	893	
64	11564	1052	
65	12747	1159	
66	12449	1132	
67	10773	980	
68	8577	780	
69	6863	624	
70	5474	498	
71	4600	419	
72	3921	357	
73	3307	301	
74	2994	273	
75	2628	239	
76	2454	224	
77	2309	210	
78	4449	405	
79	6571	598	
80	8305	755	
81	10264	934	
82	12364	1124	
83	13410	1220	
84	12651	1151	
85	11166	1016	
86	9913	902	
87	8432	767	
88	7590	690	
89	6924	630	
90	6553	596	
91	6006	546	
92	5757	524	
93	5728	521	
94	5596	509	
95	5523	503	
96	5944	541	
97	8342	759	
98	10619	966	
99	11956	1087	
100	12103	1101	
101	12346	1123	
102	12417	1129	
103	12203	1110	
104	12135	1104	
105	12058	1097	
106	11645	1059	
107	11240	1022	
108	10937	995	
109	10568	961	
110	10162	924	
111	10235	931	
112	10190	927	
113	10016	911	
114	10064	915	
115	10367	943	
116	10177	926	
117	10029	912	
118	9793	891	
119	9688	881	
120	9818	893	
121	9885	899	
122	10155	924	
123	10249	932	
124	10387	945	
125	10265	934	
126	10373	943	
127	10493	954	
128	10354	942	
129	10264	934	
130	10295	936	
131	10172	925	
132	10311	938	
133	10467	952	
134	10545	959	
135	10420	948	
136	10542	959	
137	10343	941	
138	10212	929	
139	10126	921	
140	10317	938	
141	10222	930	
142	10200	928	
143	10160	924	
144	10093	918	
145	10087	917	
146	10041	913	
147	10208	928	
148	10073	916	
149	10165	925	
150	10079	917	
151	10064	915	
152	10124	921	
153	10057	915	
154	9853	896	
155	9864	897	
156	9763	888	
157	9715	884	
158	10018	911	
159	10005	910	
160	10289	936	
161	10407	947	
162	10361	942	
163	10183	926	
164	10240	931	
165	10229	930	
166	10153	923	
167	10039	913	
168	10134	922	
169	10162	924	
170	9927	903	
171	10119	920	
172	9767	888	
173	10033	913	
174	10079	917	
175	10053	914	
176	10265	934	
177	10332	940	
178	10362	942	
179	10469	952	
180	10429	949	
181	10226	930	
182	10176	926	
183	10185	926	
184	10083	917	
185	10260	933	
186	10107	919	
187	10013	911	
188	10134	922	
189	10187	927	
190	10049	914	
191	10163	924	
192	10329	939	
193	10413	947	
194	10161	924	
195	10029	912	
196	9805	892	
197	9873	898	
198	10048	914	
199	10060	915	
200	10129	921	
201	10159	924	
202	10142	922	
203	10005	910	
204	10154	924	
205	10410	947	
206	10247	932	
207	10165	925	
208	9985	908	
209	10059	915	
210	9890	900	
211	10040	913	
212	9870	898	
213	9747	887	
214	9609	874	
215	9711	883	
216	9930	903	
217	9832	894	
218	9818	893	
219	9809	892	
220	10046	914	
221	9976	907	
222	10070	916	
223	9985	908	
224	10039	913	
225	9975	907	
226	9988	908	
227	10075	916	
228	10203	928	
229	10327	939	
230	10123	921	
231	10270	934	
232	10381	944	
233	10249	932	
234	10023	912	
235	10006	910	
236	10227	930	
237	10266	934	
238	10154	924	
239	10187	927	
240	10248	932	
241	10258	933	
242	10246	932	
243	10206	928	
244	10496	955	
245	9990	909	
246	10114	920	
247	10287	936	
248	10448	950	
249	10324	939	
250	10346	941	
251	10438	949	
252	10406	946	
253	10651	969	
254	10593	963	
255	10489	954	
256	10059	915	
257	9880	899	
258	9655	878	
259	9773	889	
260	9830	894	
261	9974	907	
262	9854	896	
263	9798	891	
264	9763	888	
265	9870	898	
266	9833	894	
267	9888	899	
268	10034	913	
269	10248	932	
270	10259	933	
271	10121	921	
272	10343	941	
273	10311	938	
274	10216	929	
275	10134	922	
276	10177	926	
277	10096	918	
278	10143	923	
279	10028	912	
280	10143	923	
281	10096	918	
282	10067	916	
283	10325	939	
284	10086	917	
